[START] STEP4
[INPUT] PDBs=1165
[ALIGNED] 4jry: 4jry_aligned.pdb
[ALIGNED] 4k71: 4k71_aligned.pdb
[ALIGNED] 4k7f: 4k7f_aligned.pdb
[ALIGNED] 4l29: 4l29_aligned.pdb
[ALIGNED] 4l3c: 4l3c_aligned.pdb
[ALIGNED] 4l3e: 4l3e_aligned.pdb
[ALIGNED] 4l4t: 4l4t_aligned.pdb
[ALIGNED] 4l4v: 4l4v_aligned.pdb
[ALIGNED] 4lcw: 4lcw_aligned.pdb
[ALIGNED] 4lcy: 4lcy_aligned.pdb
[ALIGNED] 4lhu: 4lhu_aligned.pdb
[ALIGNED] 4lnr: 4lnr_aligned.pdb
[ALIGNED] 4mj5: 4mj5_aligned.pdb
[ALIGNED] 4mj6: 4mj6_aligned.pdb
[ALIGNED] 4mji: 4mji_aligned.pdb
[ALIGNED] 4mng: 4mng_aligned.pdb
[ALIGNED] 4mnq: 4mnq_aligned.pdb
[ALIGNED] 4mq7: 4mq7_aligned.pdb
[ALIGNED] 4n0f: 4n0f_aligned.pdb
[ALIGNED] 4n0u: 4n0u_aligned.pdb
[ALIGNED] 4n8v: 4n8v_aligned.pdb
[ALIGNED] 4nnx: 4nnx_aligned.pdb
[ALIGNED] 4nny: 4nny_aligned.pdb
[ALIGNED] 4no0: 4no0_aligned.pdb
[ALIGNED] 4no2: 4no2_aligned.pdb
[ALIGNED] 4no3: 4no3_aligned.pdb
[ALIGNED] 4no5: 4no5_aligned.pdb
[ALIGNED] 4nqc: 4nqc_aligned.pdb
[ALIGNED] 4nqd: 4nqd_aligned.pdb
[ALIGNED] 4nqe: 4nqe_aligned.pdb
[ALIGNED] 4nqv: 4nqv_aligned.pdb
[ALIGNED] 4nqx: 4nqx_aligned.pdb
[ALIGNED] 4nt6: 4nt6_aligned.pdb
[ALIGNED] 4o2c: 4o2c_aligned.pdb
[ALIGNED] 4o2e: 4o2e_aligned.pdb
[ALIGNED] 4o2f: 4o2f_aligned.pdb
[ALIGNED] 4ono: 4ono_aligned.pdb
[ALIGNED] 4pdc: 4pdc_aligned.pdb
[ALIGNED] 4pj5: 4pj5_aligned.pdb
[ALIGNED] 4pj7: 4pj7_aligned.pdb
[ALIGNED] 4pj8: 4pj8_aligned.pdb
[ALIGNED] 4pj9: 4pj9_aligned.pdb
[ALIGNED] 4pja: 4pja_aligned.pdb
[ALIGNED] 4pjb: 4pjb_aligned.pdb
[ALIGNED] 4pjc: 4pjc_aligned.pdb
[ALIGNED] 4pjd: 4pjd_aligned.pdb
[ALIGNED] 4pje: 4pje_aligned.pdb
[ALIGNED] 4pjf: 4pjf_aligned.pdb
[ALIGNED] 4pjg: 4pjg_aligned.pdb
[ALIGNED] 4pjh: 4pjh_aligned.pdb
[ALIGNED] 4pji: 4pji_aligned.pdb
[ALIGNED] 4pjx: 4pjx_aligned.pdb
[ALIGNED] 4pr5: 4pr5_aligned.pdb
[ALIGNED] 4pra: 4pra_aligned.pdb
[ALIGNED] 4prb: 4prb_aligned.pdb
[ALIGNED] 4prd: 4prd_aligned.pdb
[ALIGNED] 4pre: 4pre_aligned.pdb
[ALIGNED] 4prh: 4prh_aligned.pdb
[ALIGNED] 4pri: 4pri_aligned.pdb
[ALIGNED] 4prn: 4prn_aligned.pdb
[ALIGNED] 4prp: 4prp_aligned.pdb
[ALIGNED] 4qok: 4qok_aligned.pdb
[ALIGNED] 4qrp: 4qrp_aligned.pdb
[ALIGNED] 4qrq: 4qrq_aligned.pdb
[ALIGNED] 4qrr: 4qrr_aligned.pdb
[ALIGNED] 4qrs: 4qrs_aligned.pdb
[ALIGNED] 4qrt: 4qrt_aligned.pdb
[ALIGNED] 4qru: 4qru_aligned.pdb
[ALIGNED] 4s0u: 4s0u_aligned.pdb
[ALIGNED] 4u1h: 4u1h_aligned.pdb
[ALIGNED] 4u1i: 4u1i_aligned.pdb
[ALIGNED] 4u1j: 4u1j_aligned.pdb
[ALIGNED] 4u1k: 4u1k_aligned.pdb
[ALIGNED] 4u1l: 4u1l_aligned.pdb
[ALIGNED] 4u1m: 4u1m_aligned.pdb
[ALIGNED] 4u1n: 4u1n_aligned.pdb
[ALIGNED] 4u1s: 4u1s_aligned.pdb
